piloto_id,nombre,caso,tipo,driver_id,passenger_id,activado_piloto,activado_pasajero,calif_gamification,calif_app,activacion_express,vc_n_cancel_piloto,vc_n_finalizados,vc_n_otros_atribuibles,vc_n_no_atribuibles,vn_n_finalizados,vn_n_sin_novedad_a_tiempo,dias_antiguedad,n_finalizados,n_cancel_piloto,n_cancel_pasajero,n_cancel_plataforma,n_otros_atribuibles,n_sin_novedad_a_tiempo,n_alto_valor,n_alto_valor_ok,n_res_cumplidas,n_res_incumplidas_atrib,n_res_cancel_atrib,n_res_no_atrib,n_calificados,suma_calificaciones
P125,Ximena Sánchez,,B2B,26575c7cbbdbd8ecdc6813be,114c37c1b0223d54177ee03d,2022-02-01,2021-10-21,4.2,4.95,0,18,130,0,4,294,229,1687,68,9,2,0,0,59,18,14,5,2,0,0,71,347
P126,Juliana Morales,,B2B,5677b9b8e567c18db4f25f21,0cc1c6bc0d6d2700b55b556f,2025-06-18,2025-06-06,3.24,3.91,1,0,158,0,4,328,317,454,83,0,2,0,0,83,16,16,8,0,0,4,101,490
P127,Sofía Rojas,,B2B,72c91ce10144e314b16485a6,070e4dc942b1103dcd975c8e,2023-03-14,2022-10-12,4.21,4.07,0,0,103,0,8,215,188,1281,53,0,4,0,0,49,13,12,5,1,0,0,63,286
P128,César Pérez,,B2B,7412b853970011298123daa7,b29f1587af796ac37caf006c,2022-06-18,2022-01-02,3.0,4.13,0,0,135,0,4,276,239,1550,63,0,2,1,0,59,1,0,1,1,0,2,66,321
P129,Sofía Flores,,B2B,cb9116991d2c4bea8ca38405,bc576d6fffe1d6f88ffbdc3f,2022-08-15,2022-04-30,3.4,4.37,0,6,97,0,8,178,171,1492,48,3,4,0,0,45,11,9,8,0,0,0,46,223
P130,Camilo García,,B2B,cd1338bc9d9f217e5ce8e220,dfa83af04b11d7a06059199e,2024-06-12,2024-01-05,4.52,3.83,0,4,136,0,16,262,234,825,63,3,8,0,0,56,21,20,1,1,0,2,61,275
P131,Ramiro Vargas,,B2B,5ab750c713c392e4fa4fa5e4,6c2702db791a6b6345f95de9,2026-05-28,2026-02-18,4.11,3.98,1,17,169,0,9,164,162,110,135,18,8,3,0,130,46,45,0,0,0,4,79,357
P132,Helena Torres,,B2B,1b56a1561a56312922a79882,10637310d703ab86198f95b5,2024-12-15,2024-06-29,3.01,4.21,0,0,252,0,28,420,420,639,115,0,14,0,0,112,38,30,26,0,0,2,148,740
P133,Beatriz Ortiz,,B2B,a9b4089f89d405dff4eddc5f,b6829e36b8f8c3481b793281,2022-07-10,2022-02-04,4.14,4.4,0,6,133,0,28,259,236,1528,62,3,14,1,0,58,2,1,0,1,0,2,63,295
P134,Andrés López,,B2B,32bf3f74cab5e3522e657e2d,2eb94f6ac30f1442fbae7a4c,2025-02-18,2024-12-30,4.07,4.09,0,0,8,0,0,15,12,574,4,0,0,0,0,3,0,0,3,1,0,3,4,19
P135,Helena Cruz,,B2B,caadec5996a7e22f5e0d4b4e,caba608b00ca2c2e7d0b1086,2026-08-16,2026-03-06,3.3,3.72,0,5,62,0,4,57,51,30,58,5,4,1,0,50,13,12,4,1,0,3,28,138
P136,César Pérez,,B2B,ec04bba1f4944947f6821b22,7755d4610fd5e68e27575e88,2023-08-13,2023-01-27,4.24,4.22,0,6,64,0,6,131,126,1129,32,3,3,0,0,32,9,7,2,1,0,2,35,171
P137,Kevin Cruz,,B2B,af4ec5dda461c931bff52778,7e3bf20276e991170f8b887f,2021-12-24,2021-06-14,4.31,4.83,0,2,28,0,4,51,48,1726,14,1,2,0,0,12,2,2,16,1,0,4,13,62
P138,Diana Flores,,B2B,6e07e9949e11214d10704b41,f6f8ebaf08e50c74037e89c4,2025-01-04,2024-10-29,3.76,3.94,1,0,40,0,2,79,67,619,19,0,1,0,0,17,6,5,5,0,0,1,21,105
P139,César Flores,,B2B,e9fb29eefc3de09a81f73037,32d5ce9b1ca2677ec1e8d80a,2024-11-22,2024-08-16,3.3,4.29,0,15,215,0,16,418,418,662,106,7,8,0,0,106,21,19,19,1,0,3,128,621
P140,Zulma Pérez,,B2B,c8964443e9057cc40d8c6bea,f1ae3d5b4b605004b0144d20,2022-02-06,2022-02-05,3.39,4.31,0,0,71,0,2,123,123,1682,34,0,1,0,0,34,4,3,20,1,0,4,38,184
P141,César Morales,,RENT,e8c0bd0a89990638cc7944fe,10695b74144bc76177923bf9,2025-07-25,2025-06-21,3.44,4.99,0,1,18,0,2,,,417,10,1,1,0,0,,,,,,,,8,38
P142,Paola Mendoza,,RENT,97e4bbfd43c40ccd2559f049,4cec483483ff5a6ef89601fb,2023-08-14,2023-03-05,3.95,3.68,0,0,13,0,0,,,1128,7,0,0,0,0,,,,,,,,7,35
P143,Lorena Rivera,,RENT,e7063dcce6ac688b8eae5774,b47f7f2cf546c59bacfc7470,2022-08-17,2022-07-22,3.22,4.77,0,14,316,0,50,,,1490,146,7,25,0,0,,,,,,,,148,696
P144,Brenda García,,RENT,4574101936ac053b215a6729,53b6f4cf36f3a6a0940f97cf,2023-12-10,2023-08-07,3.83,3.79,0,0,18,0,4,,,1010,10,0,2,0,0,,,,,,,,8,38
P145,Flor Cruz,,RENT,d506deaaa6952db22bdb4d32,bdfd067d6cfdebc913c2fced,2025-09-19,2025-08-14,4.77,4.8,1,0,35,0,6,,,361,17,0,3,0,0,,,,,,,,16,77
P146,Yeison Martínez,,RENT,8b0cbeea2a84e1937c7cbf04,42d99b6965df00e148400ef2,2026-06-21,2025-12-07,4.95,3.82,0,0,27,0,3,,,86,29,0,3,0,0,,,,,,,,14,68
P147,Gustavo Vargas,,RENT,750bca569ce6aaa630648288,8885a82328994f1c8cdd30d2,2024-10-18,2024-05-08,2.91,3.51,0,23,224,0,26,,,697,109,10,13,0,0,,,,,,,,140,656
P148,Fernanda López,,RENT,fa6dc8d940a2eed8d5288ad9,b33f30196bdcbe7f714023fe,2022-11-12,2022-05-12,4.87,4.57,0,7,56,0,0,,,1403,26,4,0,0,0,,,,,,,,35,164
P149,Óscar Cruz,,RENT,b6f0b00d72ef452191433559,3f36b0db785ae5eaf5405241,2024-07-10,2024-01-23,3.83,3.77,0,1,117,0,12,,,797,57,1,6,1,0,,,,,,,,56,272
P150,Fernanda Pérez,,RENT,05fdb5215eca25eb0ccffa27,a4d367f29cacbd8123d55cfa,2022-09-28,2022-06-09,3.56,4.2,0,1,31,0,0,,,1448,16,1,0,0,0,,,,,,,,18,89
P151,Valeria Cruz,,RENT,345732d8413ee98e14581422,0a6bcab94e9674947f20813c,2023-07-25,2023-02-25,4.21,4.35,0,0,136,0,18,,,1148,63,0,9,1,0,,,,,,,,66,296
P152,Diana Mendoza,,RENT,fe4e27a69f5372fa5cb8cdc6,1abbd0b73151e32a5efef071,2022-01-02,2021-08-04,4.13,4.81,1,2,68,0,6,,,1717,35,1,3,0,0,,,,,,,,36,178
P153,Natalia Castro,,RENT,6dcff7a2b03d13f5b1053da2,04c9ea36e32d9e033e7ebd0d,2023-06-05,2022-12-21,2.59,3.88,0,2,75,0,0,,,1198,39,1,0,0,0,,,,,,,,38,183
P154,Flor Ortiz,,RENT,661fdacb3638b1303b76e72c,e5263564dbff71e6bed782d7,2024-11-02,2024-07-04,3.62,3.56,0,0,21,0,0,,,682,11,0,0,0,0,,,,,,,,9,45
P155,Zulma Cruz,,RENT,69298fc6d9b6817140960a49,f858045b72e5510d400498bf,2022-12-18,2022-07-30,2.65,3.85,1,2,32,0,4,,,1367,15,1,2,0,0,,,,,,,,16,80
P156,Brenda Ramírez,,RENT,b1970547cc3fa654d82fd7cc,c0bd4cd6ed9e8ae3b7e7208b,2024-02-25,2023-12-25,3.08,3.95,0,0,47,0,8,,,933,22,0,4,0,0,,,,,,,,25,115
P157,Ximena López,,RENT,12e30282db7767daa26644bd,efd9a4ece6cf99dfcc90be9f,2022-08-27,2022-03-31,3.98,4.31,0,14,197,0,20,,,1480,106,8,10,1,0,,,,,,,,111,528
P158,Lorena Mendoza,,RENT,41d52846b9a7f34e1cb77d28,e55852b25b6d7c81724de7d0,2025-05-14,2025-01-07,2.96,4.28,0,0,30,0,2,,,489,16,0,1,0,0,,,,,,,,16,76
P159,Esteban Díaz,,RENT,433aa6ec47a44220a4d17228,117fa20a99b4afd30ef1fc72,2022-01-03,2021-09-28,2.51,3.72,0,7,194,0,40,,,1716,99,4,20,1,0,,,,,,,,111,533
P160,Diana Cruz,,RENT,334b89879e28c6698c496477,9ffe30a4d73508c1e9af761c,2024-09-08,2024-03-22,3.9,4.09,0,0,37,0,6,,,737,19,0,3,0,0,,,,,,,,21,100
P161,Ximena Gómez,,RENT,0943791f07f4076f40155496,48fbd4a785ef8ed9b33f0494,2024-05-04,2024-01-07,4.64,3.97,0,3,53,0,0,,,864,25,2,0,0,0,,,,,,,,28,130
P162,Beatriz Ortiz,,RENT,097c4a56ca34df6dfa92b116,4950029640333d0b32bdc0e6,2025-06-19,2025-06-13,3.04,4.02,0,0,61,0,4,,,453,31,0,2,0,0,,,,,,,,37,177
P163,Gustavo Gómez,,RENT,2361a3d7a9f6e4db8d90dc0c,4c1549f53baab0695b25ae41,2021-10-17,2021-06-04,3.35,3.76,0,0,41,0,6,,,1794,23,0,3,0,0,,,,,,,,21,100
P164,Daniela Vargas,,RENT,76e38dff635bfb4459566fb8,98592195443903d54c84a051,2023-03-25,2022-12-06,2.84,3.53,0,13,96,0,18,,,1270,53,6,9,0,0,,,,,,,,46,219
P165,Flor López,,RENT,23489ea3d7a470af67a44a7d,cad246aade2681bce773775e,2026-07-30,2026-03-03,2.71,4.13,0,1,22,0,4,,,47,22,1,4,0,0,,,,,,,,11,51
P166,Alejandro Sánchez,,RENT,dd7ec4c5155f959744cb0370,1590afd11326d89f5e9c1ec1,2023-10-02,2023-05-20,3.58,4.15,0,0,10,0,0,,,1079,5,0,0,0,0,,,,,,,,4,18
P167,Diana Rojas,,RENT,6092ff3f639d312d4a839764,74305130ebe2aeb2be9bf88f,2026-03-06,2026-03-04,3.95,4.69,1,0,12,0,2,,,193,7,0,1,0,0,,,,,,,,6,29
P168,Wilson Martínez,,RENT,aeaaddedcac71b62156bc04d,11150d0b0530a615ba76852f,2026-07-26,2026-07-06,2.71,4.04,1,7,38,0,5,,,51,43,8,5,0,0,,,,,,,,18,83
P169,Mateo García,,RENT,c97a15b6695fcbe43363958d,9ec81a7e5d544ff15a7669c5,2022-03-04,2022-02-20,4.97,4.99,0,2,51,0,6,,,1656,27,1,3,0,0,,,,,,,,23,114
P170,Camilo Vargas,,RENT,4be4ce2ef612bafeeee26b15,8db3581c55d060e6cbc2b4aa,2022-08-05,2022-06-20,3.39,4.51,1,0,16,0,2,,,1502,9,0,1,0,0,,,,,,,,10,50
P171,Ignacio Castro,,RENT,aa7317ae961779cf0d2b2af3,00f57917c19f5df6527a6c8f,2023-09-18,2023-05-12,3.95,3.95,0,44,245,0,34,,,1093,124,21,17,2,0,,,,,,,,117,566
P172,Lorena López,,RENT,beceb4db4aaafeadcec80f04,ef78668846d503a4cc3f63ec,2021-10-23,2021-08-29,3.97,4.33,0,10,76,0,10,,,1788,37,5,5,0,0,,,,,,,,48,228
P173,Yeison González,,RENT,31c2834d85b829ab9000a3d9,a674ca42607299808bad4061,2025-10-31,2025-10-16,4.42,3.8,1,2,37,0,0,,,319,17,1,0,0,0,,,,,,,,20,94
P174,Ramiro Ramírez,,RENT,69e27bb1105ecce285125777,396d77fe446d43ab017771ba,2026-02-01,2025-11-01,4.37,3.72,0,15,139,0,18,,,226,74,7,9,2,0,,,,,,,,86,427
P175,Andrés González,,RENT,db50f0cfa2cd2148a48b9ad1,685941c93ff888f3b7227b1f,2023-12-04,2023-11-21,3.85,4.07,0,0,65,0,8,,,1016,35,0,4,0,0,,,,,,,,37,170
P176,Andrés Torres,,RENT,138bb2091c9076613045074a,f8fa4aa0768e5dd2d1a583ad,2022-01-12,2022-01-06,4.01,4.37,0,1,75,0,8,,,1707,38,1,4,0,0,,,,,,,,44,219
P177,Alejandro López,,RENT,fa834aafd1c16fd2978a97ec,eb33b8519fa87490536c6774,2026-07-03,2026-04-21,3.51,3.87,0,0,25,0,1,,,74,27,0,1,0,0,,,,,,,,14,66
P178,Helena Díaz,,RENT,7d6afb70ea5ee962002cc56b,859f7bd9eaa448c6ab1d5c51,2025-04-12,2025-03-05,3.93,4.15,0,0,89,0,0,,,521,46,0,0,1,0,,,,,,,,54,252
P179,Lorena Mendoza,,RENT,9b4f5bdc2539da58367af299,791048a74ff27fbafc38b4ce,2026-04-19,2026-01-07,3.77,4.77,0,14,179,0,29,,,149,108,8,18,0,0,,,,,,,,101,484
P180,Diana Gómez,,RENT,be131a42f73304648358544c,9b16e8ddd93ea4c063bf8c01,2022-10-07,2022-03-31,2.56,3.53,0,0,14,0,0,,,1439,7,0,0,0,0,,,,,,,,7,33
P181,Ignacio Pérez,,B2C,53707c4cdb92c96f4cf908c4,15df3968eaf4091eae11da89,2023-03-28,2023-02-19,4.86,4.27,0,9,139,0,2,285,226,1267,66,5,1,1,0,59,15,15,,,,,87,392
P182,Juliana López,,B2C,2bd9cf2ac517cdb6ba31324e,5ce54691d28062e978d2d716,2022-01-10,2021-12-18,4.51,4.56,0,0,68,0,6,122,122,1709,33,0,3,0,0,31,11,11,,,,,32,160
P183,Paola Pérez,,B2C,fa6438d0dc2fa897607fe461,02b2a5d05d24ac14aea28fae,2025-01-26,2024-11-15,4.66,4.38,0,23,147,0,24,265,241,597,68,11,12,1,0,60,12,10,,,,,87,423
P184,Brenda Díaz,,B2C,018f4b4b73364546e4df76fb,10381dae8a13ad56ec8e84a8,2026-07-04,2026-05-13,2.8,4.21,0,13,93,0,8,95,87,73,88,12,8,1,0,88,24,20,,,,,60,298
P185,Kevin Vargas,,B2C,f1bce1b951f951d66e9a88e2,ba91aa67dfe9f68b501fc283,2025-05-18,2025-03-09,4.32,4.47,0,46,272,0,60,605,581,485,145,22,30,1,0,141,25,24,,,,,130,571
P186,Yeison Morales,,B2C,3523eec4a57ec0014c1e1386,bd559ebce6e1b7d8ed254f12,2022-06-24,2022-05-29,4.75,4.91,0,73,317,0,34,573,549,1544,152,35,17,2,0,132,36,35,,,,,154,704
P187,Yeison Vargas,,B2C,e14a1de57b963e45d9119f28,058c21309b030adfcd5a5348,2023-06-23,2023-02-17,3.73,3.95,0,14,107,0,14,197,168,1180,49,6,7,0,0,41,4,3,,,,,50,230
P188,Daniela Díaz,,B2C,05c3b15f582daccbdfc89be8,7efd83d9b1f2cce5d3b0bd78,2024-02-08,2023-12-30,4.15,4.85,0,9,110,0,16,218,169,950,51,5,8,1,0,43,7,5,,,,,70,337
P189,Mateo Mendoza,,B2C,a98913ed50ad04bc52e5673d,6f7dc3576abff5f62551ca3f,2021-11-17,2021-06-18,2.72,3.79,0,1,100,0,14,206,206,1763,51,1,7,0,0,51,1,0,,,,,53,261
P190,Helena Morales,,B2C,06751f3cca0786b514195e8a,06166c0e44f47c5bc9ad2697,2025-11-19,2025-07-28,4.93,4.07,0,5,41,0,8,81,60,300,23,3,4,0,0,19,5,4,,,,,19,92
P191,Lorena Pérez,,B2C,6f51d5b9624f8daf0699ac5a,41e269d0c877e445f256cde8,2024-05-31,2024-04-03,3.94,4.45,1,0,114,0,28,235,230,837,61,0,14,0,0,56,2,1,,,,,52,252
P192,Brenda Ramírez,,B2C,87600884814cc27169029e2a,597d8ea2408fbe01fb1cca40,2024-04-17,2023-12-10,3.04,3.91,0,1,42,0,2,92,81,881,23,1,1,0,0,20,5,4,,,,,20,93
P193,Alejandro González,,B2C,f333310cb9656ef1f0f40c77,64ce56d2a31a2da61a766391,2023-11-06,2023-06-05,2.57,4.49,0,0,41,0,0,87,71,1044,20,0,0,0,0,18,6,6,,,,,24,108
P194,Paola Rojas,,B2C,25d78929d474d1f6f1d993a4,7151d649b725b08e45efaaea,2024-11-20,2024-06-24,4.34,4.5,0,2,38,0,4,79,76,664,21,1,2,0,0,19,6,4,,,,,20,96
P195,Diana Morales,,B2C,603ec1ff7fb070ab4cec93b5,0a581b2076eb9203cbec096d,2023-05-21,2023-04-06,4.02,3.77,0,3,46,0,0,90,80,1213,22,2,0,0,0,20,6,5,,,,,28,132
P196,Yeison Rodríguez,,B2C,256b4b6389b16621d5a46bf6,8ea4085c61753f9453a96119,2022-04-03,2022-01-08,4.63,4.53,0,6,52,0,8,100,90,1626,26,3,4,0,0,23,6,5,,,,,27,133
P197,Daniela Gómez,,B2C,1c148687ed6f436cf97292d1,4057f05cc74bc36372308d73,2025-07-24,2025-07-21,4.94,4.23,0,13,120,0,8,210,210,418,56,6,4,0,0,54,7,7,,,,,58,286
P198,Diana Pérez,,B2C,f9a82ee40ce428dd5a1e89b9,4b3f11c4ccedbc79dea716b8,2023-10-17,2023-05-10,3.24,4.8,0,0,172,0,8,349,318,1064,86,0,4,1,0,82,4,3,,,,,102,487
P199,Yeison Rojas,,B2C,83930ee9725b1e2959333c08,bb8517008d7c12bd97c85fc6,2024-01-27,2023-12-16,2.92,4.52,0,6,58,0,6,118,110,962,29,3,3,0,0,29,7,7,,,,,28,135
P200,Edwin Pérez,,B2C,69f66f5628b42f9d77fa4901,3e14967c547fb6143d93cffb,2025-05-28,2024-11-10,3.25,4.04,0,14,86,0,12,168,144,475,43,6,6,0,0,35,5,3,,,,,40,199
P201,Valeria Mendoza,,B2C,2a7d969f6a17011fea0ab59a,996584e1fd3c77363dabb0bb,2024-10-26,2024-06-17,2.75,3.65,0,6,61,0,2,128,114,689,31,3,1,0,0,30,0,0,,,,,37,176
P202,Zulma Martínez,,B2C,c17289ef17ba517cc2fdd47b,0b5f3f7b469216f211ffac51,2025-11-11,2025-11-06,3.07,4.9,0,0,49,0,8,93,85,308,25,0,4,0,0,24,2,1,,,,,27,123
P203,Ximena Mendoza,,B2C,d107a4398c5b00e43e54c1dd,29096f795498a2570d13bdaa,2024-10-12,2024-09-23,3.72,4.88,0,1,67,0,8,125,125,703,34,1,4,0,0,34,4,4,,,,,37,183
P204,Flor García,,B2C,5cc33d4c038296ce23ea062e,5f4acdaf007c47b61a3b683b,2022-06-29,2022-05-07,4.08,4.13,0,6,69,0,10,127,121,1539,32,3,5,0,0,31,3,3,,,,,31,154
P205,Mateo Cruz,,B2C,8d0b7691d55caa85e41a9b70,50231370c5bfacc31257ad35,2023-08-05,2023-01-30,3.29,4.39,0,0,145,0,34,308,265,1137,71,0,17,0,0,69,22,22,,,,,84,403
